,address,effective_rent
463,"12515 Lake Square Cir, Orlando, FL 32821",2054
464,"12517 Beach Blvd, Jacksonville, FL 32246",1688
465,"12530 Innovation East Drive, Orlando, FL 32828",2067
466,"12555 NW 27th Ave, Miami, FL 33167",1284
467,"12570 Splendid Place, Orlando, FL 32821",2364
468,"12585 Flagler Center Blvd, Jacksonville, FL 32258",1800
469,"1260 NW 95th St, Miami, FL 33147",1636
470,"12612 Victoria Pl Cir, Orlando, FL 32828",2112
471,"1270 Reed Canal Rd, Port Orange, FL 32129",1870
472,"12700 66th St N, Largo, FL 33773",2351
473,"12702 University Club Dr, Tampa, FL 33612",1678
474,"1275 Dunn Ave, Jacksonville, FL 32218",1038
475,"12750 NW 27th Ave, Opa-locka, FL 33054",1401
476,"12755 SW 136th St, Miami, FL 33186",2579
477,"12771 St James Pl Dr, Tampa, FL 33612",1095
478,"12780 Olive Jones Rd, Tampa, FL 33625",2001
479,"1280 102nd Ave N, St Petersburg, FL 33716",1608
480,"1280 Vinings Ln, Casselberry, FL 32707",1850
481,"12800 Vonn Rd, Largo, FL 33774",1438
482,"12801 SW 252nd St, Princeton, FL 33032",1346
483,"12801 US-1, Juno Beach, FL 33408",2898
484,"12802 Saddle Club Cir, Tampa, FL 33635",2158
485,"12806 Madison Pointe Cir, Orlando, FL 32821",1982
486,"12810 Cypress Cape Circle, Fort Myers, FL 33966",2408
487,"1285 Tan Tara Trl, Jacksonville, FL 32221",1937
488,"12855 Sunstone Ave, Orlando, FL 32832",2158
489,"129 E Villa Capri Cir, Deland, FL 32724",1381
490,"1290 Kendall Town Blvd, Jacksonville, FL 32225",1595
491,"1290 N Ridge Blvd, Clermont, FL 34711",1968
492,"12900 Broxton Bay Dr, Jacksonville, FL 32218",1646
493,"12900 Waterford Wood Cir, Orlando, FL 32828",1184
494,"1291 El Mirasol Loop, Davenport, FL 33896",1791
495,"12932 Mallory Cir, Orlando, FL 32828",2208
496,"12950 SW 127th Ave, Miami, FL 33186",2501
497,"130 S Massachusetts Ave, Lakeland, FL 33801",1339
498,"130 Town Center Blvd, Clermont, FL 34714",1843
499,"1300 Carillon Pl, Lake Wales, FL 33898",837
500,"1300 Santa Rosa Dr, Kissimmee, FL 34741",1991
501,"1300 Shetter Ave, Jacksonville Beach, FL 32250",2108
502,"13000 Breaking Dawn Dr, Orlando, FL 32824",1901
503,"13001 Corbel Cir, Fort Myers, FL 33907",1985
504,"13001 Lake Cypress Cir, Orlando, FL 32828",2007
505,"1301 Waterford Oak Dr, Orlando, FL 32828",2044
506,"13015 Stockton Trl, Bradenton, FL 34211",2118
507,"1302 Cooperstown Ct, Tampa, FL 33613",1478
508,"1303 Ocala Rd, Tallahassee, FL 32304",1206
509,"1305 Morgan Stanley Ave, Winter Park, FL 32789",2233
510,"13050 Gran Bay Pkwy, Jacksonville, FL 32258",1778
511,"13051 Gran Bay Pkwy, Jacksonville, FL 32258",1725
512,"13052 Tampa Oaks Blvd, Temple Terrace, FL 33637",1785
513,"1306 Celery Palm Cove, Sanford, FL 32771",2195
514,"13081 SW 242nd St, Princeton, FL 33032",1688
515,"13085 SW 1 Ln, Newberry, FL 32669",2114
516,"131 S Federal Hwy, Boca Raton, FL 33432",2800
517,"1310 NW 16th St, Miami, FL 33125",1508
518,"1310 Tomoka Town Center Dr, Daytona Beach, FL 32117",1852
519,"13100 Broxton Bay Dr, Jacksonville, FL 32218",1474
520,"1311 E 8th Ave, Tampa, FL 33605",1833
521,"13125 Wilcox Rd, Largo, FL 33774",1406
522,"13163 Ranch Rd, Jacksonville, FL 32218",1583
523,"1317 Tomoka Town Ctr Dr, Daytona Beach, FL 32117",1888
524,"13184 Heather Moss Dr, Orlando, FL 32837",2119
525,"132 Forest Lake Blvd, Daytona Beach, FL 32119",1324
526,"1320 Sands Ter E, Clearwater, FL 33764",2229
527,"13200 49th St N, Clearwater, FL 33762",1575
528,"13214 Bunn Cir, Tampa, FL 33612",1294
529,"1323 SE 8th Ave, Deerfield Beach, FL 33441",1365
530,"1324 NW 16th Ave, Gainesville, FL 32605",1260
531,"13275 Arbor Pointe Cir, Tampa, FL 33617",1519
532,"13283 N Main St, Jacksonville, FL 32218",1642
533,"13300 Atlantic Blvd, Jacksonville, FL 32225",1744
534,"13300 Colony Square Dr, Orlando, FL 32837",2147
535,"13300 Tanja King Blvd, Orlando, FL 32828",1754
536,"13300 Walsingham Rd, Largo, FL 33774",1623
537,"13301 Amber Lake Blvd, Orlando, FL 32824",1181
538,"13306 Canopy Grove Dr, Tampa, FL 33625",2087
539,"13308 Wisper Palms Way, Orlando, FL 32828",2264
540,"1333 Dunn Ave, Jacksonville, FL 32218",994
541,"1333 S Ocean Blvd, Pompano Beach, FL 33062",3919
542,"13333 Ridge Rd, Largo, FL 33778",1543
543,"1336 Valley Groves Dr, Seffner, FL 33584",1486
544,"1340 S Dixie Hwy, Coral Gables, FL 33146",4622
545,"13400 Arbor Isle Dr, Temple Terrace, FL 33637",1579
546,"13401 N 50th St, Tampa, FL 33617",1898
547,"13401 NW 5th ST, Pembroke Pines, FL 33028",2957
548,"13401 Park Lake Dr, Tampa, FL 33618",1584
549,"13401 Sutton Park Dr S, Jacksonville, FL 32224",1880
550,"13418 Dottie Dr, Tampa, FL 33617",1655
551,"1343 St Tropez Cir, Weston, FL 33326",3336
552,"13444 Gran Bay Pkwy, Jacksonville, FL 32258",1631
553,"13490 Gran Bay Pkwy, Jacksonville, FL 32258",1759
554,"1350 N Wilson Ave, Bartow, FL 33830",1466
555,"1350 Seagate Dr, Palm Harbor, FL 34685",2008
556,"13500 NW 3rd St, Plantation, FL 33325",2763
557,"13500 Rodgers Ave, Largo, FL 33771",1501
558,"13501 Vista Walk Drive, Orlando, FL 32821",2051
559,"13504 Citicards Way, Jacksonville, FL 32258",1818
560,"1351 S Federal Hwy, Boynton Beach, FL 33435",2619
561,"13514 NW 1st Ln, Newberry, FL 32669",1747
562,"13525 Bartram Park Blvd, Jacksonville, FL 32258",1746
563,"13555 Yellow Fern Way, Riverview, FL 33578",1888
564,"13564 Cypress Glen Ln, Tampa, FL 33637",2373
565,"1358 Willett Way, Kissimmee, FL 34744",2467
566,"13600 Hartle Groves Pl, Clermont, FL 34711",2072
567,"1361 S Federal Hwy, Boca Raton, FL 33432",2430
568,"13617 Fletcher Regency Dr, Tampa, FL 33613",935
569,"13621 Feather Sound Cir E, Clearwater, FL 33762",1930
570,"13621 Parkcrest Blvd, Fort Myers, FL 33912",1504
571,"13644 Tortona Ln, Windermere, FL 34786",2164
572,"13645 E Colonial Dr, Orlando, FL 32826",2114
573,"1365 W Donegan Ave, Kissimmee, FL 34741",1631
574,"13651 NW 4th St, Pembroke Pines, FL 33028",2501
575,"13675 Lake Vining Dr, Orlando, FL 32821",1902
576,"13700 Luxe Ave, Bradenton, FL 34211",2187
577,"13700 Sutton Park Dr N, Jacksonville, FL 32224",1771
578,"13710 SW 256th St, Homestead, FL 33032",2051
579,"13720 SW 272nd St, Homestead, FL 33032",1890
580,"13723 Atlantic Blvd, Jacksonville, FL 32225",2101
581,"13765 NE 136th Loop Rd, Lady Lake, FL 32159",1600
582,"13800 Egrets Nest Dr, Jacksonville, FL 32258",1698
583,"13800 SW 268th St, Miami, FL 33032",1188
584,"13801 NE 3rd Ct, North Miami, FL 33161",1299
585,"13805 Emerson Street, Palm Beach Gardens, FL 33418",3147
586,"13809 Heron Wood Ln, Fort Myers, FL 33919",1357
587,"1381 N Clyde Morris Blvd, Daytona Beach, FL 32117",1483
588,"13835 Heritage Club Dr, Tampa, FL 33613",1860
589,"13841 SW 90th Ave, Miami, FL 33176",1834
590,"1385 Brookwood Forest Blvd, Jacksonville, FL 32225",1355
591,"1385 Wildwood Lakes Blvd, Naples, FL 34104",1796
592,"13890 NE 3rd Ct, North Miami, FL 33161",1414
593,"13901 SW 122nd Ave, Miami, FL 33186",1910
594,"13930 Spector Rd, Lithia, FL 33547",1938
595,"13931 Osprey Links Rd, Orlando, FL 32837",2004
596,"13944 Sandy Hill Loop, Tampa, FL 33613",1346
597,"13971 Windrush Ct, North Fort Myers, FL 33903",1496
598,"13990 Bartram Park Blvd, Jacksonville, FL 32258",1741
599,"140 Banner Ct, Crestview, FL 32539",1165
600,"140 Glendale St, Lakeland, FL 33803",1496
601,"1400 5th Ave N, Naples, FL 34102",1949
602,"1400 Avon Ln, North Lauderdale, FL 33068",2074
603,"1400 E Mowry Dr, Homestead, FL 33033",1220
604,"1400 Encore Pl, Lake Mary, FL 32746",1771
605,"1400 Hancock Blvd, Daytona Beach, FL 32114",1310
606,"1400 Morgan Stanley Ave, Winter Park, FL 32789",2305
607,"1400 Plantation Blvd, Plant City, FL 33566",1575
608,"1400 S Dixie Hwy, Lantana, FL 33462",2813
609,"1400 S Nova Rd, Daytona Beach, FL 32114",1290
610,"1400 Via Lugano Cir, Boynton Beach, FL 33436",2217
611,"1400 Village Blvd, West Palm Beach, FL 33409",2026
612,"1400 W Donegan Ave, Kissimmee, FL 34741",1692
613,"14000 Biscayne Blvd, North Miami, FL 33181",1778
614,"14001 Benvolio Cir, Orlando, FL 32824",2180
615,"14003 Saulk Ct, Tampa, FL 33613",1524
616,"14009 Clubhouse Cir, Tampa, FL 33618",1823
617,"1401 Grande Blvd, Kissimmee, FL 34743",1057
618,"1401 Marina Mile Blvd, Fort Lauderdale, FL 33315",2467
619,"1401 NW 103rd St, Miami, FL 33147",1985
620,"1401 Reed Canal Rd, Port Orange, FL 32129",1936
621,"1401 Riverplace Blvd, Jacksonville, FL 32207",2254
622,"1401 S Clyde Morris Blvd, Daytona Beach, FL 32114",1117
623,"1401 S Kirkman Rd, Orlando, FL 32811",1741
624,"14012 Shoreside Way, Winter Garden, FL 34787",1683
625,"14030 Atlantic Blvd, Jacksonville, FL 32225",1884
626,"14040 SW 258th St, Homestead, FL 33032",2709
627,"1405 SW 10th Terrace, Gainesville, FL 32601",1217
628,"1405 Southwood Plantation Rd, Tallahassee, FL 32311",1378
629,"14050 Integra Dr, Jacksonville, FL 32218",1666
630,"14050 NE 6th Ave, North Miami, FL 33161",1938
631,"14050 Pacific Point Pl, Delray Beach, FL 33484",2288
632,"14059 Riveredge Dr, Tampa, FL 33637",1861
633,"1408 N Orange Ave, Green Cove Springs, FL 32043",1027
634,"141 Old Orange Park Rd, Orange Park, FL 32073",1383
635,"141 Thrive Rd, Davenport, FL 33896",2081
636,"14100 Portofino Way, Championsgate, FL 33896",2093
637,"14138 Monterey Pines Dr, Tampa, FL 33613",1668
638,"1414 SW 17th Pl, Cape Coral, FL 33991",1962
639,"1415 2nd St, Sarasota, FL 34236",4414
640,"1415 Latta Dr, Celebration, FL 34747",2221
641,"1415 NW 15th Ave, Miami, FL 33125",1933
642,"14179 Georgian Cir, Fort Myers, FL 33912",1674
643,"1419 Lake Lucerne Way, Brandon, FL 33511",1938
644,"1420 Lakefront Dr, Sarasota, FL 34240",3121
645,"1420 N Meridian Rd, Tallahassee, FL 32303",1297
646,"1420 New Bellevue Ave, Daytona Beach, FL 32114",1460
647,"14200 Colonial Grand Blvd, Orlando, FL 32837",2000
648,"14200 Duval Rd, Jacksonville, FL 32218",1709
649,"14201 Cyber Pl, Tampa, FL 33613",2187
650,"1421 SW 27th Ave, Ocala, FL 34471",1666
651,"1426 Marathon Key Dr, Tampa, FL 33612",1283
652,"1427 SE 8th Ave, Deerfield Beach, FL 33441",1393
653,"1430 Sun Market Pl, North Port, FL 34288",2255
654,"14304 Marina San Pablo Pl, Jacksonville, FL 32224",2845
655,"1431 W 9 Mile Rd, Pensacola, FL 32534",1546
656,"14352 Pablo Blvd, Spring Hill, FL 34609",1753
657,"14401 Metro Pkwy, Fort Myers, FL 33912",1841
658,"14401 N 22nd St, Tampa, FL 33613",1101
659,"14401 S Military Trail, Delray Beach, FL 33484",2578
660,"14401 SW 268th St, Naranja, FL 33032",1896
661,"1441 Brandywine Rd, West Palm Beach, FL 33409",1814
662,"1441 Manotak Ave, Jacksonville, FL 32210",1045
663,"14417 Hellenic Dr, Tampa, FL 33613",1036
664,"1444 Home St, Jacksonville, FL 32207",1810
665,"1444 NW 14th Ave, Miami, FL 33125",2725
666,"1447 Stone Rd, Tallahassee, FL 32303",995
667,"14471 Stagedoor Johnny Pl, Ruskin, FL 33573",1759
668,"145 Cinnamon Cove Dr, Melbourne, FL 32901",2207
669,"145 SW 13th St, Miami, FL 33130",2955
670,"1450 Neo Square Blvd, Kissimmee, FL 34744",1904
671,"1450 Pine Warbler Pl, Sarasota, FL 34240",2207
672,"1450 Sunshadow Dr, Casselberry, FL 32707",1461
673,"1450 Tradition Cir, Melbourne, FL 32901",1730
674,"14501 Caribbean Breeze Dr, Tampa, FL 33613",1581
675,"14501 Gateway Pointe Cir, Orlando, FL 32821",1968
676,"14505 Westbrook Cir, Bradenton, FL 34211",2155
677,"14551 N 46th St, Tampa, FL 33613",1567
678,"14555 Bruce B Downs Blvd, Tampa, FL 33613",1399
679,"14566 Seaford CIR, Tampa, FL 33613",1377
680,"1460 Alden Rd, Orlando, FL 32803",2309
681,"14600 Avenue of the Groves, Winter Garden, FL 34787",2064
682,"14600 N Nebraska Ave, Tampa, FL 33613",998
683,"14606 N 42nd St, Tampa, FL 33613",1191
684,"14608 N 43rd St, Tampa, FL 33613",1182
685,"14609 Banyan Bluff Dr, Tampa, FL 33613",1455
686,"14619 Casita Rdg, Winter Garden, FL 34787",2138
687,"1462 Solera Ter, Jacksonville, FL 32211",1681
688,"14627 Grenadine Dr, Tampa, FL 33613",1725
689,"14650 Bull Run Rd, Miami Lakes, FL 33014",1645
690,"14680 Westerly Dr, Winter Garden, FL 34787",2124
691,"1470 Long Spur, Odessa, FL 33556",1821
692,"14701 Bartram Park Blvd, Jacksonville, FL 32258",1474
693,"14768 Enclave Lakes Dr, Delray Beach, FL 33484",2889
694,"1480 Hammock Ridge Rd, Clermont, FL 34711",2001
695,"1480 NW N River Dr, Miami, FL 33125",3018
696,"1485 Ash Cir, Casselberry, FL 32707",1054
697,"1495 Spring Harbor Dr, Delray Beach, FL 33445",2676
698,"14951 Walden Springs Way, Jacksonville, FL 32258",1579
699,"14981 SW 283rd St, Homestead, FL 33033",2011
700,"15 Ascend Cir, St Johns, FL 32259",1906
701,"15 Blue Cove Dr, Santa Rosa Beach, FL 32459",2088
702,"150 Bear Springs Dr, Winter Springs, FL 32708",1956
703,"150 Eastlake Club Dr, Oldsmar, FL 34677",1132
704,"150 Hidden Cove Way, Port St. Lucie, FL 34986",2330
705,"150 NE 38th St, Oakland Park, FL 33334",1454
706,"150 S Bryan Rd, Dania Pointe, FL 33004",2298
707,"150 SW 91st Ave, Plantation, FL 33324",2195
708,"1500 Centrepark Blvd, West Palm Beach, FL 33401",2562
709,"1500 Monument Rd, Jacksonville, FL 32225",1181
710,"1500 N Lockwood Ridge Rd, Sarasota, FL 34237",1418
711,"1500 NE 123rd St, North Miami, FL 33161",1792
712,"1500 SE Tiffany Club Pl, Port St. Lucie, FL 34952",1783
713,"1500 Seagull Dr, Palm Harbor, FL 34685",1830
714,"1500 Southern Cross Ln, Boynton Beach, FL 33436",1432
715,"1500 Springate Dr, Panama City, FL 32404",1201
716,"15000 Iona Lakes Dr, Fort Myers, FL 33908",1712
717,"15000 SW 104th St, Miami, FL 33196",2165
718,"15005 Michelangelo Blvd, Delray Beach, FL 33446",2536
719,"1501 Coral Ridge Dr, Coral Springs, FL 33071",2441
720,"1501 Harvard Cir, Melbourne, FL 32905",1518
721,"1501 NW 124th Terrace, Sunrise, FL 33323",2439
722,"1501 SW 37th Ave, Miami, FL 33145",2771
723,"1501 Shepherd Rd, Lakeland, FL 33811",910
724,"1502 Marsh Cove Ct, Tampa, FL 33619",1802
725,"15025 Pine Meadows Dr, Fort Myers, FL 33908",1494
726,"1504 Bay Rd, Miami Beach, FL 33139",3659
727,"1505 40th Ave, Vero Beach, FL 32960",1233
728,"1505 Fort Clarke Blvd, Gainesville, FL 32606",1642
729,"15050 Ember Springs Cir, Orlando, FL 32821",2119
730,"1508 Bay Rd, Miami Beach, FL 33139",2850
731,"1508 Ladora Dr, Brandon, FL 33511",1924
732,"151 7th St S, St Petersburg, FL 33701",2708
733,"151 Boone St, Pensacola, FL 32505",1113
734,"151 Eber Boulevard, Melbourne, FL 32901",1515
735,"151 Michael Blake Boulevard, Winter Springs, FL 32708",2136
736,"151 SE 3rd Ave, Delray Beach, FL 33483",2513
737,"1510 Big Oaks Dr, Lakeland, FL 33810",1618
738,"15100 NW 150th Ct, Alachua, FL 32615",1332
739,"15101 Quails Bluff Cir, Lake Wales, FL 33853",921
740,"1512 E 12th Ave, Tampa, FL 33605",2208
741,"1512 Orchard Park Cir, Ruskin, FL 33570",1069
742,"15122 W Colonial Dr, Winter Garden, FL 34787",1626
743,"1515 E Lincoln Ave, Mt Dora, FL 32757",1181
744,"1515 Eden Isle Blvd NE, St. Petersburg, FL 33704",1441
745,"1517 Cameron Samuel Ln, West Palm Beach, FL 33401",2449
746,"15175 Integra Jct, Odessa, FL 33556",1843
747,"152 MacAlpine Way, Dunedin, FL 34698",1849
748,"1520 E Fletcher Ave, Tampa, FL 33612",1294
749,"1521 Lakefront Dr, Sarasota, FL 34240",4960
750,"15250 Sonoma Dr, Fort Myers, FL 33908",1548
751,"15270 Ballast Point Dr, Fort Myers, FL 33908",2028
752,"15280 SW 104th St, Miami, FL 33196",2411
753,"1529-C NE 39th Ave, Ocala, FL 34470",1096
754,"1529-C NE 39th Ave., Ocala, FL 34470",1118
755,"1530 Windwood Dr NE, Palm Bay, FL 32905",1180
756,"15300 W Colonial Dr, Winter Garden, FL 34787",1349
757,"1535 Blanding Blvd, Middleburg, FL 32068",1071
758,"15350 SW 136th St, Miami, FL 33196",2494
759,"15360 SW 123rd Ave, Miami, FL 33177",1338
760,"15385 SW 73rd Terrace Cir, Miami, FL 33193",1753
761,"15401 NE 6th Ave, Miami, FL 33162",1396
762,"1542 Arcadia Dr, Jacksonville, FL 32207",1584
763,"1545 NW 15th Street Rd, Miami, FL 33125",2000
764,"155 Veranda Way, Mt Dora, FL 32757",1690
765,"1550 Brickell Ave, Miami, FL 33129",2536
766,"1550 Calder Blvd, ChampionsGate, FL 33896",1887
767,"1550 University Woods Pl, Tampa, FL 33612",1657
768,"1551 Flournoy Cir W, Clearwater, FL 33764",2227
769,"1551 NE 167th St, North Miami Beach, FL 33162",2177
770,"15520 SW 127th Ave, Miami, FL 33177",2718
771,"1555 Village Center Dr, Lakeland, FL 33803",1737
772,"1560 Central Ave N, St Petersburg, FL 33705",2371
773,"15601 SW 137th Ave, Miami, FL 33177",1345
774,"1561 Stonehaven Dr, Boynton Beach, FL 33436",2079
775,"1569 NW 17th Ave, Miami, FL 33125",1925
776,"1570 Lane Ave S, Jacksonville, FL 32210",1080
777,"1572 NE 191st St, Miami, FL 33179",1904
778,"1575 SW 8th St, Boynton Beach, FL 33426",2250
779,"15754 NW 7th Ave, Miami, FL 33169",1676
780,"1585 Greenlea Dr, Clearwater, FL 33755",1420
781,"15900 SW 95th Ave, Miami, FL 33157",1368
782,"15902 Spyglass Terrace, Hudson, FL 34667",1556
783,"1591 19th St Ct E, Bradenton, FL 34208",1451
784,"1591 Lane Ave S, Jacksonville, FL 32210",1029
785,"1595 Marden Ridge Loop, Apopka, FL 32703",1835
786,"15985 Arbor View Blvd, Naples, FL 34110",2862
787,"1599 NW 91st Ave, Coral Springs, FL 33071",2261
788,"160 16th St N, St Petersburg, FL 33705",2660
789,"160 Paramount Dr, Sarasota, FL 34232",2227
790,"160 W Tyler St, Tampa, FL 33602",2777
791,"1600 Governor's Dr, Pensacola, FL 32514",1487
792,"1600 Hunt Club St, Fort Walton Beach, FL 32547",1172
793,"1600 Island Shores Dr, Greenacres, FL 33413",1617
794,"1600 Lansdowne Dr, Jacksonville, FL 32211",955
795,"1600 NE 135th St, North Miami, FL 33181",1674
796,"1600 Old Bainbridge Rd, Tallahassee, FL 32303",1344
797,"1600 Oviedo Grove Cir, Oviedo, FL 32765",2001
798,"1600 Pullen Rd, Tallahassee, FL 32303",963
799,"1600 Wellesley Cir, Naples , FL 34116",2250
800,"16000 S Post Rd, Weston, FL 33331",2792
801,"16001 Bayside Pointe, Fort Myers, FL 33908",2036
802,"1601 Dunn Ave, Jacksonville, FL 32218",974
803,"1601 Johns Lake Rd, Clermont, FL 34711",1805
804,"1601 N Dixie Hwy, Lake Worth, FL 33460",2058
805,"1601 Red Cedar Dr, Fort Myers, FL 33907",1607
806,"1601 S Hiatus Rd, Pembroke Pines, FL 33025",2724
807,"1601 S Kirkman Rd, Orlando, FL 32811",1738
808,"1601 SW 27th Ave, Ocala, FL 34471",1403
809,"1602 Governor's Dr, Pensacola, FL 32514",1627
810,"1605 Flower Mound Ln, Cocoa, FL 32922",922
811,"1605 Renaissance Commons Blvd, Boynton Beach, FL 33426",2491
812,"16100 Myriad Ln, Fort Myers, FL 33908",2269
813,"16185 NW 64th Ave, Hialeah, FL 33014",2392
814,"162 NE 25th St, Miami, FL 33137",2249
815,"1620 Bartram Rd, Jacksonville, FL 32207",1585
816,"16210 Allura Cir, Naples, FL 34110",2984
817,"1625 N Congress Ave, West Palm Beach, FL 33401",1523
818,"16297 Northdale Oaks Dr, Tampa, FL 33624",1861
819,"1631 S Federal Hwy, Pompano Beach, FL 33062",2706
820,"1632 Clearwater Largo Rd, Clearwater, FL 33756",2187
821,"1632 N Federal Hwy, Boynton Beach, FL 33435",2487
822,"16321 Bolesta Rd, Clearwater, FL 33760",1553
823,"1635 Monterey Dr NE, Palm Bay, FL 32905",925
824,"1640 E Sunrise Blvd, Fort Lauderdale, FL 33304",2706
825,"1640 NW 128th Dr, Sunrise, FL 33323",2337
826,"16400 Nelson Park Dr, Clermont, FL 34714",1828
827,"1645 Dunlawton Ave, Port Orange, FL 32127",1525
828,"1645 Renaissance Commons Blvd, Boynton Beach, FL 33426",2164
829,"1646 18th Ave N, St Petersburg, FL 33713",1747
830,"16480 SW 137th Ave, Miami, FL 33177",2564
831,"1650 N Mills Ave, Orlando, FL 32803",2332
832,"1650 SW 78th Ave, Plantation, FL 33324",2358
833,"1651 Brandywine Rd, West Palm Beach, FL 33409",1927
834,"1651 County Rd 19A, Eustis, FL 32726",859
835,"1651 Lake Meadow Cir S, Brandon, FL 33510",926
836,"1655 Eagles Landing Blvd, Tallahassee, FL 32308",1306
837,"1655 Prudential Dr, Jacksonville, FL 32207",1889
838,"16554 Cagan Crossing Blvd, Clermont, FL 34715",1501
839,"16554 Cagan Crossings Blvd, Clermont, FL 34714",972
840,"1658 S Hiawassee Rd, Orlando, FL 32835",1712
841,"1661 Central Ave, St. Petersburg, FL 33713",2298
842,"1665 Dogwood Pl, Pensacola, FL 32506",792
843,"16700 Sheridan St, Pembroke Pines, FL 33028",2782
844,"1675 NW 4th Ave, Boca Raton, FL 33432",1990
845,"16803 Sarahs Pl, Clermont, FL 34714",1805
846,"16824 SW 137th Ave, Miami, FL 33177",2585
847,"1688 Celebration Blvd, Celebration, FL 34747",2026
848,"1690 Dunn Ave, Daytona Beach, FL 32114",1342
849,"16900 N Bay Rd, Sunny Isles Beach, FL 33160",2997
850,"1694 Baldwin Park Dr, Tallahassee, FL 32304",1525
851,"16947 Kettle Ln, Land O' Lakes, FL 34638",1850
852,"16950 SW 93rd St, Miami, FL 33196",2117
853,"1699 68th St N, St Petersburg, FL 33710",1580
854,"1700 Cambridge Cove Pass, Lakeland, FL 33810",1245
855,"1700 Hooks St, Clermont, FL 34711",2230
856,"1700 Integra Land Wy, Winter Springs, FL 32708",2019
857,"1700 Mindanao Dr, Jacksonville, FL 32246",1543
858,"1700 NE 8th St, Homestead, FL 33033",1284
859,"1700 Renaissance Commons Blvd, Boynton Beach, FL 33426",2335
860,"1700 S State Rd 7, North Lauderdale, FL 33068",2484
861,"1700 San Pablo Rd S, Jacksonville, FL 32224",1956
862,"1700 Woodbury Road, Orlando, FL 32828",1794
863,"1700 Woodlake Dr NE, Palm Bay, FL 32905",1386
864,"17000 Fountainside Loop, Lutz, FL 33558",1805
865,"1701 Central Ave, St. Petersburg, FL 33713",2377
866,"1701 Conservation Trl, Fort Walton Beach, FL 32547",1788
867,"1701 E 131st Ave, Tampa, FL 33612",972
868,"1701 Lake Chapman Dr, Brandon, FL 33510",1602
869,"1701 Lee Rd, Winter Park, FL 32789",1772
870,"1701 N Central Ave, Kissimmee, FL 34741",1232
871,"1701 N Lois Ave, Tampa, FL 33607",2325
872,"1701 San Pablo Rd S, Jacksonville, FL 32224",1770
873,"1702 Chapel Tree Cir, Brandon, FL 33511",1659
874,"1702 W Cleveland St, Tampa, FL 33606",2368
875,"1710 Wells Rd, Orange Park, FL 32073",1453
876,"17101 N Bay Rd, Sunny Isles Beach, FL 33160",2559
877,"17105 Gulf Blvd, North Redington Beach, FL 33708",2422
878,"1715 Hodges Blvd, Jacksonville, FL 32224",1461
879,"1717 County Rd 220, Fleming Island, FL 32003",1572
880,"1717 Holden Ave, Orlando, FL 32839",1536
881,"17171 Three Oaks Pkwy, Fort Myers, FL 33967",2148
882,"1720 Depot Ave, Delray Beach, FL 33444",2685
883,"1720 NW 3rd Terrace, Florida City, FL 33034",1049
884,"1721 Anniston Rd, Jacksonville, FL 32246",1326
885,"1721 SE 17th St, Fort Lauderdale, FL 33316",2928
886,"17225 Panama City Beach Pkwy, Panama City Beach, FL 32413",1644
887,"17230 NW 64th Ave, Miami, FL 33015",2390
888,"1724 London Crest Dr, Orlando, FL 32818",1714
889,"1730 Gurtler Ct, Orlando, FL 32804",1250
890,"1730 Savona Point Circle, Cape Coral, FL 33914",2121
891,"1735 Brantley Rd, Fort Myers, FL 33907",1740
892,"17350 NW 68th Ave, Hialeah, FL 33015",2109
893,"1743 Semoran N Cir, Winter Park, FL 32792",1668
894,"1746 Bowen Dr, Orlando, FL 32822",915
895,"175 Herons Run Dr, Sarasota, FL 34232",1826
896,"175 Pintail Ln, ChampionsGate, FL 33896",1989
897,"1750 N Bayshore Dr, Miami, FL 33132",3304
898,"1751 Four Mile Cove Pkwy, Cape Coral, FL 33990",1705
899,"1756 N Bayshore Dr, Miami, FL 33132",2992
900,"1756 S Clyde Morris Blvd, Daytona Beach, FL 32119",1532
901,"1757 S Clyde Morris Blvd, Daytona Beach, FL 32119",1503
902,"1757 Theodora Ln, Fleming Island, FL 32003",1782
903,"17583 Bellavista Loop, Lutz, FL 33558",1944
904,"1760 Clearwater Largo Rd N, Clearwater, FL 33756",2037
905,"17600 NW 5th Ave, Miami, FL 33169",1681
906,"1763 Main St, Dunedin, FL 34698",1716
907,"1767 Hermitage Blvd, Tallahassee, FL 32308",1683
908,"1769 Shadetree Way, Palm Springs, FL 33406",1478
909,"1770 Windover Oaks Dr, Titusville, FL 32780",990
910,"1771 Mainsail Dr, Naples, FL 34114",2447
911,"1776 Polk St, Hollywood, FL 33020",2909
912,"1780 Welham St, Orlando, FL 32814",2642
913,"17873-B Thelma Ave, Jupiter, FL 33458",1860
914,"1790 Manarola St, Kissimmee, FL 34741",2029
915,"17900 NE 31st Ct, Aventura, FL 33160",2227
916,"17940 NW 67th Ave, Hialeah, FL 33015",2053
917,"17945 SW 97th Ave, Palmetto Bay, FL 33157",2582
918,"18 Longtail Dr, St Augustine, FL 32092",2549
919,"180 E Dania Beach Blvd, Dania Beach, FL 33004",2465
920,"180 NE 29th St, Miami, FL 33137",3189
921,"1800 Kingsley Ave, Orange Park, FL 32073",1388
922,"1800 Miccosukee Commons Dr, Tallahassee, FL 32308",1659
923,"1800 W 1st St, Sanford, FL 32771",1498
924,"1801 Brantley Rd, Fort Myers, FL 33907",1972
925,"1801 Kernan Blvd S, Jacksonville, FL 32246",1269
